JerseyNo,Date,TRB,AST,STL,PTS
20,2018-03-06,6,1,1,15
20,2018-03-08,6,2,1,9
20,2018-03-10,8,2,0,10
20,2018-03-12,13,4,0,15
20,2018-03-14,7,4,1,10
20,2018-03-16,3,4,1,2
20,2018-03-19,2,3,1,11
20,2018-03-21,1,2,0,15
20,2018-03-23,6,0,1,14
20,2018-03-25,1,0,0,7
20,2018-03-27,9,3,1,7
20,2018-03-29,9,2,1,13
20,2018-03-31,7,2,1,11
20,2018-04-03,3,0,1,2
20,2018-04-04,1,5,0,18
20,2018-04-06,5,2,2,9
20,2018-04-09,9,2,0,12
20,2018-04-11,8,4,1,11
